f,n,number,center,syahen,sinphi,theta(RADIAN),theta(DEGREE)
250,1.492,241,120.25,277.4167668,0.433463346,0.778642799,44.61294614
250,1.492,242,120.75,277.6338641,0.43492533,0.776439294,44.4866946
250,1.492,243,121.25,277.8516916,0.436383883,0.774244313,44.36093142
250,1.492,244,121.75,278.0702474,0.437839003,0.772057827,44.23565502
250,1.492,245,122.25,278.28953,0.439290691,0.76987981,44.11086383
250,1.492,246,122.75,278.5095375,0.440738946,0.767710233,43.98655625
250,1.492,247,123.25,278.7302684,0.442183767,0.76554907,43.86273071
250,1.492,248,123.75,278.9517207,0.443625154,0.763396292,43.73938562
250,1.492,249,124.25,279.1738929,0.445063106,0.761251871,43.61651937
250,1.492,250,124.75,279.3967833,0.446497624,0.75911578,43.49413037
250,1.492,251,125.25,279.62039,0.447928708,0.756987991,43.37221703
250,1.492,252,125.75,279.8447114,0.449356357,0.754868476,43.25077773
250,1.492,253,126.25,280.0697458,0.450780571,0.752757206,43.12981088
250,1.492,254,126.75,280.2954914,0.452201351,0.750654153,43.00931486
250,1.492,255,127.25,280.5219466,0.453618697,0.748559291,42.88928807
250,1.492,256,127.75,280.7491095,0.45503261,0.746472589,42.76972888
250,1.492,257,128.25,280.9769786,0.456443089,0.744394021,42.65063569
250,1.492,258,128.75,281.205552,0.457850135,0.742323558,42.53200688
250,1.492,259,129.25,281.4348282,0.459253749,0.740261171,42.41384083
250,1.492,260,129.75,281.6648052,0.460653932,0.738206833,42.29613592
250,1.492,261,130.25,281.8954815,0.462050684,0.736160515,42.17889053
250,1.492,262,130.75,282.1268553,0.463444006,0.734122188,42.06210303
250,1.492,263,131.25,282.358925,0.464833899,0.732091825,41.9457718
250,1.492,264,131.75,282.5916887,0.466220364,0.730069397,41.82989522
250,1.492,265,132.25,282.8251447,0.467603403,0.728054876,41.71447166
250,1.492,266,132.75,283.0592915,0.468983015,0.726048233,41.5994995
250,1.492,267,133.25,283.2941272,0.470359203,0.724049441,41.4849771
250,1.492,268,133.75,283.5296501,0.471731969,0.722058469,41.37090285
250,1.492,269,134.25,283.7658586,0.473101312,0.720075291,41.25727511
250,1.492,270,134.75,284.0027509,0.474467235,0.718099878,41.14409226
250,1.492,271,135.25,284.2403253,0.47582974,0.716132201,41.03135267
250,1.492,272,135.75,284.47858,0.477188827,0.714172231,40.91905471
250,1.492,273,136.25,284.7175135,0.478544499,0.712219942,40.80719675
250,1.492,274,136.75,284.957124,0.479896758,0.710275303,40.69577718
250,1.492,275,137.25,285.1974097,0.481245605,0.708338288,40.58479436
250,1.492,276,137.75,285.438369,0.482591042,0.706408867,40.47424666
250,1.492,277,138.25,285.6800002,0.483933072,0.704487011,40.36413248
250,1.492,278,138.75,285.9223015,0.485271695,0.702572694,40.25445017
250,1.492,279,139.25,286.1652713,0.486606916,0.700665886,40.14519812
250,1.492,280,139.75,286.4089079,0.487938734,0.698766559,40.03637471
250,1.492,281,140.25,286.6532095,0.489267154,0.696874685,39.92797831
250,1.492,282,140.75,286.8981744,0.490592177,0.694990236,39.82000731
250,1.492,283,141.25,287.1438011,0.491913806,0.693113183,39.7124601
250,1.492,284,141.75,287.3900877,0.493232043,0.691243498,39.60533504
250,1.492,285,142.25,287.6370326,0.49454689,0.689381153,39.49863054
250,1.492,286,142.75,287.884634,0.495858351,0.68752612,39.39234498
250,1.492,287,143.25,288.1328903,0.497166428,0.685678371,39.28647674
250,1.492,288,143.75,288.3817999,0.498471124,0.683837877,39.18102422
250,1.492,289,144.25,288.6313609,0.499772442,0.682004611,39.07598582
250,1.492,290,144.75,288.8815718,0.501070384,0.680178545,38.97135992
250,1.492,291,145.25,289.1324307,0.502364953,0.67835965,38.86714493
